ECONOMIC_DATA	经济数据
CITIZEN_STATUS	1、居民情况(钱单位:1/100克朗)
CITIZEN_COUNT	居民人数
FAMILY_COUNT	家庭户数
SALARY_PER_FAMILY	每户居民收入
CITIZEN_TAX_PER_FAMILY	居民平均纳税
EXPENSE_PER_FAMILY	每户固定支出
AVERAGE_TRANPORT_FEE	平均公交费用
LEVEL3_HIGH_WEALTH	财团世家
LEVEL2_HIGH_WEALTH	富豪家庭
LEVEL1_HIGH_WEALTH	资本家庭
WEALTH_HIGH_COUNT	富裕家庭
WEALTH_MEDIUM_COUNT	中产家庭
WEALTH_LOW_COUNT	贫穷家庭
BUILDING_STATUS	2、建筑情况
PROFIT_BUIDLING_COUNT	赚钱的公司数目
EXTERNAL_INVESTMENTS	可用于投资办公的钱
OUTSIDE_GOV_MONEY	外部政府的预算费
OUTSIDE_TOU_MONEY	外部游客的总预算
TIP1	提示1
POLICY_COST	3、Mod新增政策费(钱单位: 克朗)
LIVING_ALLOWANCE	最低生活保障和福利
USE_TMPE_TIP	必须用TMPE并且禁止车辆消失
CITY_SALARY_TAX_INCOME_TITLE	1、城市居民所得税收入
SALARY_TAX_INCOME	居民所得税收入
TOURIST_INCOME_TITLE	2、城市旅游收入
FROM_RESIDENT	来自本地游客
FROM_TOURIST	来自外地游客
LAND_TAX_INCOME_TITLE	3、城市地税收入
RESIDENT_HIGH_LAND_INCOME	高密度居民区地税收入
RESIDENT_LOW_LAND_INCOME	低密度居民区地税收入
RESIDENT_HIGH_ECO_LAND_INCOME	高密度生态居民区地税收入
RESIDENT_LOW_ECO_LAND_INCOME	低密度生态居民区地税收入
COMMERICAL_HIGH_LAND_INCOME	高密度商业地税收入
COMMERICAL_LOW_LAND_INCOME	低密度商业地税收入
COMMERICAL_ECO_LAND_INCOME	生态商业地税收入
COMMERICAL_TOURISM_LAND_INCOME	旅游商业地税收入
COMMERICAL_LEISURE_LAND_INCOME	娱乐商业地税收入
INDUSTRIAL_GENERAL_LAND_INCOME	一般工业地税收入
INDUSTRIAL_FARMING_LAND_INCOME	农业地税收入
INDUSTRIAL_FORESTY_LAND_INCOME	林业地税收入
INDUSTRIAL_OIL_LAND_INCOME	石油业地税收入
INDUSTRIAL_ORE_LAND_INCOME	矿业地税收入
